"pa","Xkm","Ykm","logrec","fyear","year","fmonth","dep","gra","tem.fal","sal.fal"
1,1785.67784590694,4979.52839312927,7.38674588518395,"2016",2016,"11",-0.443663592223907,1.36688202869423,1.35015663698706,0.142448084322258
1,1781.41492923432,4941.85033550036,3.34450384890553,"2016",2016,"11",-0.338488627055539,1.07239282116325,1.07887868575469,0.379334484286216
1,1790.75271750398,4884.92402043353,6.75021753203002,"2016",2016,"11",-1.1850191250937,0.0728048027792745,-1.60911861471998,-2.14770480079066
0,1885.85095410698,4834.8774039001,0,"2016",2016,"11",-0.284618493110679,0.610593067085658,1.16158690528973,0.303438379223144
1,1776.29830792016,5005.79114400873,4.02004768602484,"2016",2016,"11",-0.348749593300242,-0.840681573538927,0.609829136737302,0.0128682201320644
0,1908.99681753756,4779.00123544013,0,"2016",2016,"11",-0.246139832996941,1.01020761070095,0.742254101282357,0.336555819530791
0,1818.53980933067,5027.7629226315,0,"2016",2016,"11",-0.0383550585971259,-0.528822404627292,0.3197131755431,0.580372955651322
0,1861.68541745777,4945.18848641329,0,"2016",2016,"12",0.631173588239393,-2.14061909408586,0.696434484233926,1.11684058957064
1,1817.97234368887,4905.53582313001,4.01985475401346,"2016",2016,"11",0.823566888808082,-0.650928233000114,0.729125143622289,0.970560177790078
1,1770.51021501836,5031.49240093044,7.04712875002213,"2016",2016,"11",-0.859233141023534,-0.177652135594276,-1.09568441462538,-1.46759842344448
0,1805.42082153149,5026.98376079028,0,"2016",2016,"11",-0.128138598862514,-0.837581548056144,0.16145242888017,0.487361358570098
1,1792.51443885537,4998.31691100731,3.34450384890553,"2016",2016,"11",-0.171747717634529,-0.98718894000737,0.61392379569336,0.560773286397965
0,1834.45390851399,4996.87514449062,0,"2016",2016,"12",0.284865647215752,-2.00650471519228,0.567479769290302,0.834200624958372
0,1798.93347543504,4929.14724550764,0,"2016",2016,"11",0.10016815695485,0.687391651430524,0.82270805134122,0.81076735705123
0,1804.49056387638,5019.12562397382,0,"2016",2016,"11",0.00268880638167489,-0.646888798642851,0.368648845481104,0.554290348867035
0,1855.66400940148,4956.88844870263,0,"2016",2016,"12",0.58499921567417,-2.05929760498018,0.653932481840304,1.0556414804212
0,1791.17001958276,4929.51840232933,0,"2016",2016,"11",-0.0101374136562377,0.951321336793061,1.0012059093711,0.677877443797843
0,1799.55759227048,4929.15742072426,0,"2016",2016,"11",0.151473037106501,0.638108989834155,0.787312948120766,0.832986700976657
1,1788.39022003568,4900.34560388042,6.9471369007259,"2016",2016,"11",-0.602708740265281,0.854506150394208,0.651590336917411,-1.27615341417612
1,1781.74194418287,4892.95307950703,5.32845346580863,"2016",2016,"11",-1.15936668501787,-0.342504831848285,-1.90263445546192,-2.45931627860325
1,1801.07978830357,4888.15188073389,5.87634716586982,"2016",2016,"11",-0.866928877939094,0.744242542040998,-0.0615993087065,-1.37233957197207
0,1877.99106068269,4837.02946480188,0,"2016",2016,"11",-0.602708740265281,0.374810140104745,0.149907755754438,-0.237892330320843
0,1904.27786950068,4811.92085685062,0,"2016",2016,"11",0.741479158850481,1.27125121042891,0.893953810371119,0.737194902613422
0,1906.14863869982,4762.01736665523,0,"2016",2016,"11",-0.905407538052832,-0.202362069317896,-0.14825651026719,0.174384091314087
0,1930.38868229459,4737.01131970099,0,"2016",2016,"11",1.59570529594791,0.929486423346341,0.820204094789242,0.905576119646871
0,1929.7130102827,4727.34226232877,0,"2016",2016,"11",-0.312836138051568,0.340020936326355,0.616991078581334,0.456900336923822
0,1959.46764763855,4694.44137323486,0,"2016",2016,"11",-0.602708740265281,-0.395572495016026,0.533300692659405,0.557480123392672
0,2021.80902864586,4698.23242985643,0,"2016",2016,"11",3.09380783551862,0.757474769397117,-0.708115221794594,1.28426950746075
0,1987.37158578155,4676.36490515945,0,"2016",2016,"11",-0.695057534323883,0.318005439918569,0.536975169910288,0.63945666343888
1,2001.47521327766,4703.37200900362,3.34450384890553,"2016",2016,"11",-0.846406920985621,0.482650851356495,-0.595450419256601,1.29147016607187
0,2035.83937226459,4674.20457519386,0,"2016",2016,"11",1.8830127422247,0.572840356398937,0.518556871203389,0.971928602839981
0,2055.67830006561,4671.30498602823,0,"2016",2016,"11",-0.618100214096407,0.772825242053604,1.39658675897376,0.889090492130737
1,1774.76073605175,4969.75743056053,7.7516701915055,"2016",2016,"11",-1.13627947427119,1.96750745621401,0.477211705797283,-2.18460074648882
0,1808.01530098709,5029.07731346741,0,"2016",2016,"11",0.0206455829341604,-0.706365521160936,0.172576780907946,0.50273941336928
0,1853.82913305255,5056.28099547411,0,"2016",2016,"11",-0.443663592223907,-0.572867690571913,-0.251176651756499,0.355483572726615
0,1777.58167703162,5035.65903722506,0,"2017",2017,"12",-0.74379716068232,0.186599008520293,-1.02405620283292,-1.43793716294561
1,1834.13674892718,5005.15757753536,3.36848734428808,"2017",2017,"11",0.146342529520073,-1.77660931084221,0.0327101076718609,0.729664929519411
0,1797.38849731538,4946.29357625434,0,"2017",2017,"12",0.179690682047389,0.454300395632526,0.192932254054975,0.549488919168508
0,1829.88257510561,4962.14479514086,0,"2017",2017,"11",0.536259638243879,-1.18388634722754,0.051472328690888,0.826663699316277
1,1770.33610412861,4909.12739193718,5.10642448513294,"2017",2017,"11",-1.20297585271804,-0.0829321826470467,-2.5638450657146,-2.88358743611461
1,1783.84885996842,4916.11761845634,6.51239890864754,"2017",2017,"11",-0.556534367700053,1.21261226367162,0.985684625435927,-0.675255726591314
0,1806.49097624406,4922.4668338415,0,"2017",2017,"12",0.466998030467888,0.200164347201716,0.251475806008371,0.614078554260979
0,1822.61398706516,5060.47687331159,0,"2017",2017,"11",-0.90797276738197,-0.137366416274929,-0.833835887974252,-1.0984330619808
1,1800.75225736736,4895.01970059309,7.54322517691034,"2017",2017,"11",-0.636056892792597,1.12013077996268,0.290411656660655,-0.857692442014637
0,1871.3333934308,4931.58080353154,0,"2017",2017,"11",1.2673541804049,-1.90227492575534,-0.897462967733738,0.825205845412764
0,1902.14523727002,4921.55755099969,0,"2017",2017,"11",1.33405048545952,-1.86358045002565,-1.58361684642041,0.804906313584933
1,1823.14642969562,4870.69591212789,7.46804313455629,"2017",2017,"11",-0.882320351770221,0.156224748986793,-1.05768566587939,-1.48614381376122
1,1827.07851310387,4876.90190847786,3.56066228509735,"2017",2017,"11",-0.466750827434665,0.905159917279213,0.337007272565515,-0.596086434602341
1,1846.32644718819,4886.40367832117,4.05320426798319,"2017",2017,"11",1.3289199778731,-0.629120874638736,-0.92655206964872,0.787000366836631
1,1836.83669222045,4858.94235222387,7.33459329649847,"2017",2017,"11",-0.900277054930485,0.34141249908673,-1.24545095681262,-1.29165337031818
0,1852.8646795709,4858.14020218409,0,"2017",2017,"11",-0.338488627055539,0.956989240323244,0.249803407898122,-0.367473512314279
0,1871.12431192888,4852.24452255351,0,"2017",2017,"11",0.57730350322268,0.665663401368153,-0.123946694285651,0.704371241542928
0,1850.43443773271,5064.22513072015,0,"2017",2017,"11",-0.864363624145886,-1.14359522628219,-0.18872872923191,-0.0493157787977293
0,1926.88445512634,4881.83580209664,0,"2017",2017,"11",2.0471883978525,-1.16537702261418,-2.13184598308511,0.933481666359043
1,1874.62284000274,4835.94871341441,5.61482406849166,"2017",2017,"11",-0.949016681288922,0.196228803441476,-0.720606719463482,-0.637980253563123
